League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Game_URL,Team,Home_Away,Player,Player_Href,Player_Num,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Robert Lewandowski,/en/players/8d78e732/Robert-Lewandowski,9,POL,FW,32-028,90,1,2,1,1,3,0,0,0,39,0,0,0,1.3,0.5,0.1,5,3,21,27,77.8,4,22,1,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Serge Gnabry,/en/players/88e357ef/Serge-Gnabry,7,GER,LW,25-066,72,3,0,0,0,5,3,0,0,53,3,2,0,1,1,0.8,6,1,32,40,80,3,28,2,2,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Jamal Musiala,/en/players/2c0558b8/Jamal-Musiala,42,GER,LW,17-205,18,1,0,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0,0,0,6,7,85.7,1,5,1,2,1
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Leroy Sané,/en/players/2b114be3/Leroy-Sane,10,GER,RW,24-251,72,1,2,0,0,2,2,0,0,29,0,0,3,0.4,0.4,1.4,6,2,15,19,78.9,3,17,4,3,1
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Mickaël Cuisance,/en/players/5722eced/Mickael-Cuisance,11,FRA,RW,21-033,18,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,9,10,90,0,4,1,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Thomas Müller,/en/players/3c6089ab/Thomas-Muller,25,GER,AM,31-005,82,1,1,0,0,1,1,0,0,61,3,2,0,0.1,0.1,0.1,3,2,34,49,69.4,5,20,0,1,1
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Joshua Zirkzee,/en/players/028e70b9/Joshua-Zirkzee,14,NED,AM,19-119,8,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,2,2,100,0,0,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Joshua Kimmich,/en/players/49296448/Joshua-Kimmich,6,GER,DM,25-223,90,0,2,0,0,2,1,1,0,85,1,1,2,0.4,0.4,0.5,9,4,66,72,91.7,11,41,1,1,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Leon Goretzka,/en/players/cc86b9a3/Leon-Goretzka,18,GER,DM,25-225,50,1,0,0,0,2,1,0,0,38,0,1,0,0.1,0.1,0,2,0,31,35,88.6,3,29,1,1,1
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Corentin Tolisso,/en/players/652d4c37/Corentin-Tolisso,24,FRA,DM,26-046,40,0,0,0,0,2,1,0,0,34,0,0,0,0.4,0.4,0,4,2,28,31,90.3,2,17,0,1,1
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Lucas Hernández,/en/players/c3ee18ef/Lucas-Hernandez,21,FRA,LB,24-217,90,0,0,0,0,0,0,0,0,78,2,1,4,0,0,0,1,1,52,66,78.8,3,34,2,3,1
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Jérôme Boateng,/en/players/2db2fd7b/Jerome-Boateng,17,GER,CB,32-015,72,0,0,0,0,1,0,0,0,72,1,1,1,0,0,0,1,0,60,65,92.3,4,44,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Chris Richards,/en/players/0a3d6d2b/Chris-Richards,41,USA,CB,20-174,18,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,19,20,95,0,14,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Niklas Süle,/en/players/e33c06cf/Niklas-Sule,4,GER,CB,25-015,90,0,0,0,0,1,0,0,0,106,2,1,0,0.1,0.1,0,0,0,91,98,92.9,8,55,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Benjamin Pavard,/en/players/45a03961/Benjamin-Pavard,5,FRA,RB,24-174,90,0,0,0,0,0,0,0,0,83,1,2,0,0,0,0,0,0,68,77,88.3,3,38,1,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Bayern Munich,Home,Manuel Neuer,/en/players/8778c910/Manuel-Neuer,1,GER,GK,34-175,90,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,37,37,100,0,23,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Gonçalo Paciência,/en/players/962e54cb/Goncalo-Paciencia,18,POR,FW,26-048,78,0,0,0,0,2,1,0,0,26,0,0,0,0.1,0.1,0,3,0,9,18,50,1,16,0,1,1
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Timo Becker,/en/players/543ddcaf/Timo-Becker,31,GER,RB,23-177,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,50,0,3,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Mark Uth,/en/players/a3ddb1b9/Mark-Uth,7,GER,FW,29-025,90,0,0,0,0,0,0,0,0,32,2,0,1,0,0,0,0,0,20,27,74.1,0,14,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Amine Harit,/en/players/e7d59f4f/Amine-Harit,25,MAR,LM,23-092,78,0,0,0,0,0,0,0,0,27,0,1,1,0,0,0.1,1,0,16,22,72.7,3,18,2,4,2
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Steven Skrzybski,/en/players/58ce23e5/Steven-Skrzybski,22,GER,FW,27-305,12,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,2,100,0,0,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Nabil Bentaleb,/en/players/3189f61a/Nabil-Bentaleb,10,ALG,CM,25-299,90,0,0,0,0,0,0,0,0,57,4,2,2,0,0,0,0,0,40,46,87,5,27,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Suat Serdar,/en/players/b3325a30/Suat-Serdar,8,GER,CM,23-160,29,0,0,0,0,0,0,0,0,14,2,0,2,0,0,0,1,0,6,9,66.7,1,7,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Alessandro Schöpf,/en/players/106bca06/Alessandro-Schopf,28,AUT,"CM,LM",26-224,61,0,0,0,0,0,0,0,0,27,1,0,1,0,0,0,0,0,22,22,100,1,15,1,1,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Rabbi Matondo,/en/players/33144cc5/Rabbi-Matondo,14,WAL,RM,20-009,65,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.1,1,0,9,12,75,1,12,1,2,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Benito Raman,/en/players/867501bf/Benito-Raman,9,BEL,RM,25-316,25,0,0,0,0,1,0,0,0,11,1,0,1,0.1,0.1,0,0,0,5,8,62.5,1,7,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Bastian Oczipka,/en/players/d1661819/Bastian-Oczipka,24,GER,LB,31-250,90,0,0,0,0,1,0,0,0,59,2,4,0,0,0,0,1,0,34,47,72.3,2,42,5,2,1
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Benjamin Stambouli,/en/players/5939baa2/Benjamin-Stambouli,17,FRA,CB,30-036,90,0,0,0,0,0,0,1,0,58,1,3,2,0,0,0,0,0,36,49,73.5,2,36,0,1,1
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Ozan Kabak,/en/players/2d61d13a/Ozan-Kabak,4,TUR,CB,20-177,90,0,0,0,0,0,0,1,0,47,2,0,0,0,0,0,0,0,37,39,94.9,4,23,0,6,4
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Sebastian Rudy,/en/players/80f36c88/Sebastian-Rudy,13,GER,"RB,CM",30-203,90,0,0,0,0,1,0,0,0,58,4,1,3,0,0,0,0,0,26,42,61.9,4,24,0,0,0
Fußball-Bundesliga,9/18/2020,Fußball-Bundesliga (Matchweek 1),Bayern Munich,4-2-3-1,8,3.9,Serge Gnabry · 4&rsquor; Leon Goretzka · 19&rsquor; Robert Lewandowski (P) · 31&rsquor; Serge Gnabry · 47&rsquor; Serge Gnabry · 59&rsquor; Thomas Müller · 69&rsquor; Leroy Sané · 71&rsquor; Jamal Musiala · 81&rsquor;,1,0,Schalke 04,4/4/2002,0,0.2,,2,0,https://fbref.com/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,Schalke 04,Away,Ralf Fährmann,/en/players/1e43fad8/Ralf-Fahrmann,1,GER,GK,31-357,90,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,23,42,54.8,0,20,0,0,0
Fußball-Bundesliga,9/19/2020,Fußball-Bundesliga (Matchweek 1),Köln,4-2-3-1,2,2.7,Sebastian Andersson · 22&rsquor; Dominick Drexler · 86&rsquor;,3,0,Hoffenheim,3-4-1-2,3,2.6,Andrej Kramarić · 3&rsquor; Andrej Kramarić (P) · 45+3&rsquor; Andrej Kramarić · 90+2&rsquor;,4,0,https://fbref.com/en/matches/4504b4a4/Koln-Hoffenheim-September-19-2020-Bundesliga,Köln,Home,Sebastian Andersson,/en/players/b4cf5806/Sebastian-Andersson,9,SWE,FW,29-066,90,1,0,0,0,5,3,0,0,39,0,0,1,1.2,1.2,0.2,3,1,21,29,72.4,1,17,0,0,0
Fußball-Bundesliga,9/19/2020,Fußball-Bundesliga (Matchweek 1),Köln,4-2-3-1,2,2.7,Sebastian Andersson · 22&rsquor; Dominick Drexler · 86&rsquor;,3,0,Hoffenheim,3-4-1-2,3,2.6,Andrej Kramarić · 3&rsquor; Andrej Kramarić (P) · 45+3&rsquor; Andrej Kramarić · 90+2&rsquor;,4,0,https://fbref.com/en/matches/4504b4a4/Koln-Hoffenheim-September-19-2020-Bundesliga,Köln,Home,Jan Thielmann,/en/players/fd53759d/Jan-Thielmann,29,GER,LW,18-116,70,0,1,0,0,2,0,0,0,27,0,3,0,0.2,0.2,0.3,2,1,13,19,68.4,1,17,1,0,0
Fußball-Bundesliga,9/19/2020,Fußball-Bundesliga (Matchweek 1),Köln,4-2-3-1,2,2.7,Sebastian Andersson · 22&rsquor; Dominick Drexler · 86&rsquor;,3,0,Hoffenheim,3-4-1-2,3,2.6,Andrej Kramarić · 3&rsquor; Andrej Kramarić (P) · 45+3&rsquor; Andrej Kramarić · 90+2&rsquor;,4,0,https://fbref.com/en/matches/4504b4a4/Koln-Hoffenheim-September-19-2020-Bundesliga,Köln,Home,Salih Özcan,/en/players/15413fa5/Salih-Ozcan,21,TUR,"LW,AM",22-252,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.1,3,0,14,18,77.8,0,15,0,1,0
Fußball-Bundesliga,9/19/2020,Fußball-Bundesliga (Matchweek 1),Köln,4-2-3-1,2,2.7,Sebastian Andersson · 22&rsquor; Dominick Drexler · 86&rsquor;,3,0,Hoffenheim,3-4-1-2,3,2.6,Andrej Kramarić · 3&rsquor; Andrej Kramarić (P) · 45+3&rsquor; Andrej Kramarić · 90+2&rsquor;,4,0,https://fbref.com/en/matches/4504b4a4/Koln-Hoffenheim-September-19-2020-Bundesliga,Köln,Home,Elvis Rexhbeçaj,/en/players/1ae836b1/Elvis-Rexhbecaj,20,GER,RW,22-323,70,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0.1,2,0,7,18,38.9,3,14,1,0,0
Fußball-Bundesliga,9/19/2020,Fußball-Bundesliga (Matchweek 1),Köln,4-2-3-1,2,2.7,Sebastian Andersson · 22&rsquor; Dominick Drexler · 86&rsquor;,3,0,Hoffenheim,3-4-1-2,3,2.6,Andrej Kramarić · 3&rsquor; Andrej Kramarić (P) · 45+3&rsquor; Andrej Kramarić · 90+2&rsquor;,4,0,https://fbref.com/en/matches/4504b4a4/Koln-Hoffenheim-September-19-2020-Bundesliga,Köln,Home,Dominick Drexler,/en/players/809940aa/Dominick-Drexler,24,GER,RW,30-116,20,1,0,0,0,2,1,0,0,10,0,0,0,1.2,1.2,0,0,0,5,6,83.3,2,3,0,0,0
